Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Ciudad,Montos / topes,Detalle,Logo URL,Fuente API
Agencias de Viaje y Compañías Aéreas,Continental,Agencias de Viaje y Compañías Aéreas,Hasta 12 cuotas sin intereses,Todos los días,Vigente hasta el 31 de diciembre de 2026,Todo el país,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Agencias de Viajes y Compañías Aéreas del país. - Hasta 12 cuotas sin intereses. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales vía POS físico, con tarjeta física o QR. No aplica para pagos online, a través de links de pago o POS virtuales. Vigente hasta el 31 de diciembre de 2026. (*) No participan las tarjetas Cabal, Pre Pagas ni GourmetCard. No acumulable con otras promociones. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/Beneficios_1_1_2d4dcca43b.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Agencias de Viaje y Compañías Aéreas,Continental,Asatur Paraguay,Hasta 18 cuotas sin intereses,Todos los días,Vigente hasta el 31 de diciembre de 2026,Todo el país,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en agencias adheridas a ASATUR Paraguay. - Hasta 18 cuotas sin intereses. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales. Vigente hasta el 31 de diciembre de 2026. Agencias adheridas: - Ace Tours - Apleno - Arami Turismo y Cultura S.R.L. - Aries Travel S.A - Assist Card S.R.L - Aventura Viajes S.A. - Canada Viajes S.R.L. - Comdetur S.R.L - Compañía Maritima Paraguaya S.A. - Consolid S.A. - Consorcio Travel S.R.L. - Desarrollo turistico Paraguayo S.A. - Discovery Travel S.A. - Disan Travel. - El Dorado Travel Tour S.A. - Fast Rentals S.R.L. - Inter Express S.A. - Intertours S.A. - Kontiki Viajes SR.L - Kostas Viajes y Turismo S.R.L. - M Y G consultores de viajes. - Mega Viajes S.A. - Menno Travel S.R.L. - Meraki Tour - Modo Avion S.R.L. - Multidestinos S.A. - Nuestra Señora de la Asunción: Scout de Luque 705 y Zárate Isla - Nuestra Señora de la Asunción: Estación de Buses – Rca. Argentina y Fdo. de la Mora - Nuestra Señora de la Asunción : Ferrocarril – Mcal. López esquina México - Nuestra Señora de la Asunción: Luque –14 de Mayo 463 - Nuestra Señora de la Asunción: Mariano R. Alonso – Ruta Transchaco - Nuestra Señora de la Asunción: Salón VIP – Avda. Rca. Argentina y Fdo. de la Mora - Nuestra Señora de la Asunción: San Lorenzo – Ruta Mcal. Estigarribia 2580 - Nuestra Señora de la Asunción: Terminal C.D.E – Eugenio A. Garay y Chaco Boreal - Nuestra Señora de la Asunción: Terminal Encarnación – Gral. Caballero y Mcal. Estigarribia - Origen S.A. - Palma Travel S.R.L. - Premier S.R.L. - Servi Travel S.A. - Terranova S.R.L. - Touring y automovil Club Paraguayo. - Turismo Del Este S.A. - Vacaciones y negocios. - Viaggi S.R.L. - Viajes y Lujos S.R.L. - Viajocon S.R.L. - Yeruti Viajes S.R.L. (*) No participan las tarjetas Cabal, Pre Pagas ni GourmetCard. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/83b6e8e7_5179_4d22_87af_7cc1560277ac_73575ff4fb.jpeg,https://www.bancontinental.com.py/api/comercios?_limit=-1
Agencias de Viaje y Compañías Aéreas,Continental,Consolid Travel,Hasta 24 cuotas sin intereses,Todos los días,Vigente hasta el 31 de diciembre del 2026,Asunción,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,"Todos los días, en Consolid Travel. - Hasta 24 cuotas sin intereses, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco. Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs. 50.000.000 por cuenta de tarjeta. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales. Vigente hasta el 31 de diciembre del 2026. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/LOGO_CONSOLID_2017_03_f61d25b7b8.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Agencias de Viaje y Compañías Aéreas,Continental,Exel Turismo,Hasta 24 cuotas sin intereses,Todos los días,Vigente hasta el 01 de mayo de 2027,Asunción,Límite de compra mensual de Gs; Gs. 50.000.000,"Todos los días, en Exel Turismo - Hasta 24 cuotas sin intereses, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco. Límite de compra mensual de Gs. 50.000.000 por cuenta de tarjeta. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales. Vigente hasta el 01 de mayo de 2027. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/64b53242_8bc0_40b2_8896_6d3bc3ba0f72_4c50031f13.jpeg,https://www.bancontinental.com.py/api/comercios?_limit=-1
Agencias de Viaje y Compañías Aéreas,Continental,Lleva Viajes,Hasta 18 cuotas sin intereses,Todos los días,Vigente hasta el 10 de abril del 2027,Ciudad del Este,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Lleva Viajes. - Hasta 18 cuotas sin intereses, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Vigente hasta el 10 de abril del 2027. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pagos o POS virtuales. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/Logo_Lleva_viajes_2_e08b98d38b.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Caza y Pesca,Continental,Asociación Paraguaya de Caza y Pesca,Hasta 12 cuotas sin intereses,Todos los días,Vigente hasta el 14 de agosto de 2027,Asunción,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en la Asociación Paraguaya de Caza y Pesca. - Hasta 12 cuotas sin intereses. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través de links de pago o POS virtuales. Vigente hasta el 14 de agosto de 2027. (*) No participan las tarjetas Prepagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/65d53bb4_47cb_494b_8b6f_1b51ea12dbd9_5c7673d422.jpeg,https://www.bancontinental.com.py/api/comercios?_limit=-1
Clubes,Continental,Asunción Tenis Club,50%; hasta 24 cuotas sin intereses; 50% de descuento,Todos los días,Vigente hasta el 25 de diciembre del 2026,Asunción,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,"Todos los días, en Asunción Tenis Club. - 50% de descuento en caja (en costo de asociación) y hasta 24 cuotas sin intereses, en membresías, pagando con las tarjetas de crédito Continental exclusivamente a través del POS Dinelco. Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs. 50.000.000 por cuenta de tarjeta. Aplica únicamente para compras presenciales. No aplica para pagos a través de POS Virtual. Vigente hasta el 25 de diciembre del 2026. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/imagen_87_ed8d018193.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Clubes,Continental,San Bernardino Country Club,Hasta 12 cuotas sin intereses,Todos los días,Vigente hasta el 16 de julio de 2027,San Bernardino,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en San Bernardino Country Club. - Hasta 12 cuotas sin intereses en pagos de membresías. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplica para pagos online, a través links de pago o POS virtuales. Vigente hasta el 16 de julio de 2027. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/imagen_2024_07_26_T152001_555_b3ed734ca9.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Aceros Gallo,Hasta 18 cuotas sin intereses,Todos los días,Vigente hasta el 26 de marzo de 2027,No especificado,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Aceros Gallo. - Hasta 18 cuotas sin intereses. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales vía POS físico, con tarjeta física o QR. No aplica para pagos online, a través de links de pago o POS virtuales. Vigente hasta el 26 de marzo de 2027. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/Logo_RO_7118d5a6b7.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
Construcción,Continental,Bautec,Hasta 12 cuotas sin intereses,Todos los días,Vigente desde el 27 de mayo de 2025 hasta el 26 de mayo de 2027,Loma Plata,Límite de compra mensual de hasta Gs; Gs. 50.000.000,"Todos los días, en Bautec. - Hasta 12 cuotas sin intereses. Límite de compra mensual de hasta Gs. 50.000.000 por cuenta de tarjeta. Válido pagando con tarjetas de crédito Continental. Exclusivo en POS Dinelco. Aplica únicamente para compras o pagos presenciales, vía POS físico. No aplican para pagos online, a través links de pagos o POS virtuales. Vigente desde el 27 de mayo de 2025 hasta el 26 de mayo de 2027. (*) No participan las tarjetas Pre-Pagas, Gourmet Card ni Cabal. No acumulable con otras promociones. ( ) El Banco Continental S.A.E.C.A. se reserva el derecho de modificar o dar por finalizada la continuidad de esta u otra promoción en cualquier momento, de manera unilateral, sin incurrir en reclamo alguno por parte del cliente. ( *) Beneficio exclusivo para clientes del Banco Continental y para uso personal de los mismos. ( ) Para beneficiarse de la promoción, la factura del producto o servicio adquirido deberá ser emitida a nombre del titular o adicional de la tarjeta con la cual se abonó el pago.",https://www.bancontinental.com.py/uploads/imagen_60_9409ce8550.png,https://www.bancontinental.com.py/api/comercios?_limit=-1
