Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Medios de pago,Detalle,Bases y condiciones,URL detalle,URL categoría
Belleza y Salud,Itaú,Asismed,12 Cuotas sin intereses; Hasta 12 cuotas sin intereses.,No especificado,2025-04-04 hasta 2026-12-31,tarjeta de crédito,"Hasta el 31 de diciembre de 2026. Pagando con tu tarjeta de credito Itaú. Tenes hasta 12 cuotas sin intereses. Promoción aplica a nuevos contratos. Aplica a pagos anuales. Aplica a PLAN VIP PLUS, PLAN EXCLUSIVO SUPERIOR, PLAN VIP PLUS SUPERIOR, PLAN EXCLUSIVO VIP.","*Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 12 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16171&c=31573,https://www.itau.com.py/beneficios2/categoria/3
Belleza y Salud,Itaú,BELA NAILS,20 % 6 Cuotas sin intereses; Tenes 20% de ahorro y hasta 6 cuotas sin intereses.,No especificado,2026-08-12 hasta 2026-08-26,tarjeta de crédito,"Los miércoles de agosto de 2026 (el 12,19 y 26). Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro y hasta 6 cuotas sin intereses.","*Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 6 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=17036&c=32043,https://www.itau.com.py/beneficios2/categoria/3
Belleza y Salud,Itaú,El Mundo del Asado,10 Cuotas sin intereses 25 % Hasta; Tenes 20% de ahorro con todas las tarjetas de crédito + 5% con las tarjetas de crédito Personal Bank y hasta 10 cuotas sin intereses,No especificado,2026-06-05 hasta 2026-08-31,tarjeta de crédito,Del 8 de junio al 31 de agosto 2026. Pagando con tarjetas de crédito Itaú. Tenes 20% de ahorro con todas las tarjetas de crédito + 5% con las tarjetas de crédito Personal Bank y hasta 10 cuotas sin intereses. Consultar al comercio las condiciones del descuento.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 10 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=17009&c=30355,https://www.itau.com.py/beneficios2/categoria/3
Belleza y Salud,Itaú,Punto Farma,6 Cuotas sin intereses 35 % Pago con QR; Hasta 35% QR de ahorro y hasta 6 cuotas sin intereses.,Todos los Martes; todos los martes,2024-12-30 hasta 2026-12-31,tarjeta de crédito,"Hasta el 31 de Diciembre del 2026. Pagando con tus tarjetas de crédito Itaú tenes hasta 35% QR de ahorro y hasta 6 cuotas sin intereses. Productos Farmacéuticos* pagando con QR hasta 30% y pagando con tus tarjetas crédito 25% de descuento. *Productos Varios* pagando con QR hasta 35% y pagando con tus tarjetas crédito 30% de descuento. Pañales infantiles 30%, Leches 25%, Medicamentos especiales 25% con Tarjeta crédito y QR. Limite de compra en productos varios 2 unidad por código pasando a 3 unidades el descuento baja a 25%. Todos los Martes. Tope de Gs. 1.000.000","*Con tus tarjetas de crédito Itaú podes elegir pagar en hasta 6 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del POS de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Matercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No aplica para compras a través de la web ni para productos con precios especiales. Pagando con tu QR CRÉDITO tenes hasta 35% descuento y 30% pagando con tus tarjetas de crédito. Productos farmacéuticos hasta 30%. Productos varios hasta 35%. Leches y medicamentos con precios especiales 25%. Pañales infantiles 30%. Productos varios a partir de 3 unidades con 25%. No acumulable con otras promociones y descuentos. Promoción válida todos los martes. Tope de compra Gs. 1.000.000. Esta promoción es compartida entre BANCO ITAÚ y PUNTO FARMA para sus clientes",https://www.itau.com.py/beneficios2/Detalle?b=13417&c=20004,https://www.itau.com.py/beneficios2/categoria/3
Belleza y Salud,Itaú,Punto Farma,20 % Pago con QR; 20% de ahorro + 5% VISA y hasta 6 cuotas sin intereses.,viernes a domingo,2026-01-03 hasta 2026-12-31,tarjeta de débito,Hasta el 31 de diciembre de 2026. Pagando con tus tarjetas de debito Itaú vía QR. Tenes 20% de ahorro. Aplica de viernes a domingo.,"Aplica para compras realizadas a través del POS de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Matercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16008&c=20004,https://www.itau.com.py/beneficios2/categoria/3
Belleza y Salud,Itaú,Tippy Toe,20 % 10 Cuotas sin intereses; 20% de ahorro y hasta 10 cuotas sin intereses.,Aplica los jueves,2026-01-22 hasta 2026-08-27,tarjeta de crédito,Del 1 al 27 de agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro y hasta 10 cuotas sin intereses. Aplica los jueves.,"*Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 10 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones.",https://www.itau.com.py/beneficios2/Detalle?b=16693&c=31756,https://www.itau.com.py/beneficios2/categoria/3
Cafeterías,Itaú,Almarreina,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=30239,https://www.itau.com.py/beneficios2/categoria/51
Cafeterías,Itaú,CAFE PILAR,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=31993,https://www.itau.com.py/beneficios2/categoria/51
Cafeterías,Itaú,El Cafetero,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=31561,https://www.itau.com.py/beneficios2/categoria/51
Cafeterías,Itaú,El Café de aca,20 %; Tenes 20% de ahorro,LUNES A VIERNES; Martes a viernes,2026-05-22 hasta 2026-08-28,tarjeta de crédito,Del 22 de Mayo al 28 de Agosto de 2026. Pagando con tus tarjetas de crédito Itaú. Tenes 20% de ahorro. APLICA DE LUNES A VIERNES. LEER BASES Y CONDICIONES.,"Con tus tarjetas de crédito Itaú podés elegir pagar en hasta 3 cuotas sin intereses. La cantidad de cuotas la elegís al momento de la compra. Aplica para compras realizadas a través del pos de Bancard. No incluye tarjetas pre – pagas. Las tarjetas de crédito que acumulan puntos son Visa Infinite, Interventajas, American Express (Platinum, Gold y Green), Visa Platinum, Mastercard Black, afinidad Club Centenario y Touring. Las tarjetas de crédito con las afinidades LATAM y Aadvantage acumulan en sus respectivos programas. No acumulable con otras promociones. QUATTRO D: No aplica a heladería y restaurante. ALMARREINA: Aplica de Martes a viernes. No aplica a bebidas alcoholicas. EL CAFETERO: No aplica a Merchandising. MEDIALUNAS CALENTITAS: No aplica a almuerzo. Aplica al local de Lillo esq. Dr. Morra",https://www.itau.com.py/beneficios2/Detalle?b=16995&c=30593,https://www.itau.com.py/beneficios2/categoria/51
