Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Detalle,URL
Combustible,Sudameris,COPETROL Y COPEMARKET 2026,20%,15 de cada mes; Todos los días,• 15 de cada mes. • Desde el 01 de julio hasta el 30 de septiembre 2026.,• 20% de reintegro directo pagando con tarjetas de crédito. COPEMARKET 2026,https://www.sudameris.com.py/beneficios/destacado/609/detalle
Combustible,Sudameris,ENEX Y APP MI ENEX,10%; 20%,primer lunes; Solo el primer lunes,• Desde el 01 de julio hasta el 30 de septiembre 2026. • Solo el primer lunes de cada mes. • 6 de julio. • 3 de agosto. • 7 de septiembre.,"• 10% de reintegro en estaciones físicas pagando con tarjetas de crédito de Sudameris. • 20% de reintegro a través de la app Mi Enex, pagando con tarjetas de crédito de Sudameris",https://www.sudameris.com.py/beneficios/destacado/307/detalle
Combustible,Sudameris,Estaciones de Servicio CCU,ECOP - Estaciones de Servicio CCU VIGENCIA • Desde el 01 de julio hasta el 31 de diciembre 2026. • Solo el primer jueves de cada mes. • 02 de julio. • 06 de agosto. • 03 de septiem,primer jueves; Solo el primer jueves,• Desde el 01 de julio hasta el 31 de diciembre 2026. • Solo el primer jueves de cada mes. • 02 de julio. • 06 de agosto. • 03 de septiembre. • 01 de octubre. • 05 de noviembre. • 03 de diciembre. PETROBRAS - Estaciones de Servicio CCU,ECOP - Estaciones de Servicio CCU VIGENCIA • Desde el 01 de julio hasta el 31 de diciembre 2026. • Solo el primer jueves de cada mes. • 02 de julio. • 06 de agosto. • 03 de septiembre. • 01 de octubre. • 05 de noviembre. • 03 de diciembre. PETROBRAS - Estaciones de Servicio CCU VIGENCIA • Desde el 01 de julio hasta el 31 de diciembre 2026. • Solo el primer jueves de cada mes. • 02 de julio. • 06 de agosto. • 03 de septiembre. • 01 de octubre. • 05 de noviembre. • 03 de diciembre.,https://www.sudameris.com.py/beneficios/destacado/679/detalle
Cuotas y tarjetas,Sudameris,6 CUOTAS SIN INTERÉS - COMPRAS EN EL EXTERIOR,6 cuotas sin interés,Todos los días,• Todos los días hasta el 31 de diciembre del 2026.,• 6 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/494/detalle
Cuotas y tarjetas,Sudameris,SASPY EXPRESS,20%; Hasta 10 cuotas sin interés; 6 CUOTAS SIN INTERÉS,Todos los días,• Desde el 06 de abril hasta el 30 de septiembre 2026.,• 20% de reintegro directo pagando con tarjetas de crédito de Sudameris. • Hasta 10 cuotas sin interés. COMPRAS EN EL EXTERIOR – 6 CUOTAS SIN INTERÉS,https://www.sudameris.com.py/beneficios/destacado/849/detalle
Cuotas y tarjetas,Sudameris,SUDAMERIS GO- CUOTAS,Hasta 18 cuotas sin intereses,No especificado,• Del 12 de febrero del 2026 al 31 de diciembre del 2026.,• Hasta 18 cuotas sin intereses.,https://www.sudameris.com.py/beneficios/destacado/820/detalle
Cuotas y tarjetas,Sudameris,TARJETAS EMPRESARIALES,Hasta 6 cuotas sin interés,Todos los días,• Todos los días. • Desde el 01 de enero hasta el 31 de diciembre de 2026.,• Hasta 6 cuotas sin interés.,https://www.sudameris.com.py/beneficios/destacado/742/detalle
Cuotas y tarjetas,Sudameris,ZONA NORTE,en tu zona,No especificado,• Verificar según aplicación de promoción (ver cuadro más abajo).,en tu zona,https://www.sudameris.com.py/beneficios/destacado/650/detalle
Deportes y clubes,Sudameris,CLUB DEPORTIVO ALEMÁN (DTA),10%; 20%; Hasta 12 cuotas sin intereses; Tope de compra mensual por cuenta de tarjeta de crédito: Gs. 500.000.; Gs. 500.000.,todos los días,No especificado,exclusivos de ser socio del Club Deportivo Alemán • 10% de reintegro para pago de las cuotas sociales a través de débito automático. Tope de compra mensual por cuenta de tarjeta de crédito: Gs. 500.000. • 20% de reintegro en los locales gastronómicos dentro del club todos los días. Tope de compra mensual por cuenta de tarjeta de crédito: Gs. 500.000. • Hasta 12 cuotas sin intereses para el pago de las cuotas sociales en caja del Club.,https://www.sudameris.com.py/beneficios/destacado/403/detalle
Deportes y clubes,Sudameris,CLUB PORVENIR GUAIREÑO,10%; Hasta 12 cuotas sin interés,Todos los días,No especificado,• 10% de reintegro en débitos automáticos del Club pagando con tarjetas de crédito de Sudameris • Hasta 12 cuotas sin interés • Todos los días desde el 21-05-24 al 15-03-27,https://www.sudameris.com.py/beneficios/destacado/451/detalle
Deportes y clubes,Sudameris,CLUB SOCIAL ÁREA 4 - CIUDAD DEL ESTE,10%; Hasta 12 cuotas sin interés; Tope de compra mensual: Gs. 300.000; Gs. 300.000,Todos los días,• Todos los días. • Desde el 11 de febrero hasta el 31 de diciembre 2026..,"• 10% de reintegro en el extracto y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa, para pagos vía débito automático de las cuotas sociales del club. Tope de compra mensual: Gs. 300.000 por cuenta de tarjeta de crédito. • Hasta 12 cuotas sin interés.",https://www.sudameris.com.py/beneficios/destacado/826/detalle
Deportes y clubes,Sudameris,LIVE FITNESS,10%; 15%; 20%; hasta 3 cuotas sin intereses; hasta 6 cuotas sin intereses; hasta 12 cuotas sin intereses,Todos los días,• Todos los días. • Desde el 27 de abril hasta el 31 de diciembre 2026.,• Membresía trimestral: 10% de descuento en caja y hasta 3 cuotas sin intereses. • Membresía semestral: 15% de descuento en caja y hasta 6 cuotas sin intereses. • Membresía anual: 20% de descuento en caja y hasta 12 cuotas sin intereses.,https://www.sudameris.com.py/beneficios/destacado/861/detalle
Entretenimiento y experiencias,Sudameris,DISTRITO PERSEVERANCIA - BENEFICIOS PERMANENTES,¡Disfrutá de Distrito Perseverancia todo el año! Aprovechá hasta 12 cuotas sin interés en locales adheridos. Vigencia: Del 03/08 al 31/12/2026.,No especificado,Del 03/08 al 31/12/2026.,¡Disfrutá de Distrito Perseverancia todo el año! Aprovechá hasta 12 cuotas sin interés en locales adheridos. Vigencia: Del 03/08 al 31/12/2026.,https://www.sudameris.com.py/beneficios/destacado/902/detalle
Entretenimiento y experiencias,Sudameris,DONACIÓN TECHO 2026 EN DISTRITO PERSEVERANCIA,8 cuotas sin interés,No especificado,Periodo de campaña: Del 31 de julio al 5 de septiembre de 2026.,Hasta en 8 cuotas sin interés. ¡Colaborá hoy y sé parte del cambio!,https://www.sudameris.com.py/beneficios/destacado/901/detalle
Entretenimiento y experiencias,Sudameris,PROMOCIÓN MCLAREN MASTERCARD F1 TEAM,Gs. 500.000,No especificado,"de la promoción y acumulá cupones digitales automáticamente para los sorteos, según las","Promoción McLaren Mastercard F1 Team Participá por la experiencia McLaren Mastercard F1 Team Viví la adrenalina de la Fórmula 1 con la posibilidad de viajar al Gran Premio de México o al Gran Premio de São Paulo, además de ganar merchandising oficial del McLaren Mastercard F1 Team: remeras, gorras y mochilas. ¿Cómo participar? Realizá compras desde Gs. 500.000 con tu Tarjeta de Crédito Sudameris Mastercard durante la vigencia de la promoción y acumulá cupones digitales automáticamente para los sorteos, según las bases y condiciones.",https://www.sudameris.com.py/beneficios/destacado/854/detalle
Farmacias,Sudameris,BIGGIE FARMA,10%; 20%; Hasta 12 cuotas sin interés,primer Jueves; Solo el primer Jueves,• Desde el 01 de julio hasta el 30 de septiembre 2026. • Solo el primer Jueves de cada mes: • 02 de julio. • 06 de agosto. • 03 de septiembre.,"• Desde 20% de descuento en caja. • +10% de reintegro directo adicional en extracto, pagando exclusivamente con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.",https://www.sudameris.com.py/beneficios/destacado/708/detalle
Farmacias,Sudameris,DRUGSTORE ASISMED DESCUENTO EN CAJA,10%; 100%; 17%; 32%; Hasta 12 cuotas sin intereses,Todos los martes,• Todos los martes. • Desde el 01 de julio hasta el 30 de septiembre 2026.,"• 17% de descuento en caja en medicamentos importados o nacional con tratamiento de importado y varios, pagando con tarjetas de crédito de Sudameris. • 32% de descuento en caja en medicamentos de origen 100% nacional, pagando con tarjetas de crédito de Sudameris. • + 10% de reintegro directo en el extracto, pagando con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin intereses.",https://www.sudameris.com.py/beneficios/destacado/453/detalle
Farmacias,Sudameris,FARMACENTER,10%; 20%; Hasta 12 cuotas sin interés,primer miércoles; Solo el primer miércoles,• Desde el 01 de julio hasta el 31 de diciembre 2026. • Solo el primer miércoles de cada mes: • 01 de julio. • 05 de agosto. • 02 de septiembre. • 07 de octubre. • 04 de noviembre. • 02 de diciembre.,"• 20% de descuento directo en caja en todos los productos. • +10% de reintegro directo adicional en extracto, pagando exclusivamente con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.",https://www.sudameris.com.py/beneficios/destacado/632/detalle
