Banco,Comercio/Promocion,Resumen cuadro,Vigencia,Desde,Hasta,Beneficios,% detectado,Tope detectado,Cuotas detectadas,Bases y condiciones URL,URL,Texto completo
Sudameris,DONACIÓN TECHO 2026 EN DISTRITO PERSEVERANCIA,DONACIÓN TECHO 2026 EN DISTRITO PERSEVERANCIA,,,,: Hasta en 8 cuotas sin interés. ¡Colaborá hoy y sé parte del cambio!,,,8 cuotas sin interés,https://www.sudameris.com.py/storage/app/uploads/public/6a6/d09/269/6a6d09269939a801342003.pdf,https://www.sudameris.com.py/beneficios/destacado/901/detalle,Campaña de Donaciones: Techo en Distrito Perseverancia 🏡❤️ Periodo de campaña: Del 31 de julio al 5 de septiembre de 2026. Beneficio: Hasta en 8 cuotas sin interés. ¡Colaborá hoy y sé parte del cambio!
Sudameris,DISTRITO PERSEVERANCIA - BENEFICIOS PERMANENTES,DISTRITO PERSEVERANCIA - BENEFICIOS PERMANENTES,: Del 03/08 al 31/12/2026.,,,,,,,https://www.sudameris.com.py/storage/app/uploads/public/6a7/0f7/200/6a70f72002682849759186.pdf,https://www.sudameris.com.py/beneficios/destacado/902/detalle,¡Disfrutá de Distrito Perseverancia todo el año! Aprovechá hasta 12 cuotas sin interés en locales adheridos. Vigencia: Del 03/08 al 31/12/2026.
Sudameris,LUISITO,LUISITO,• Todos los martes. • Desde el 26 de mayo hasta el 30 de noviembre 2026.,26 de mayo,30 de noviembre 2026,• 20% de reintegro directo pagando con tarjetas de crédito de Sudameris.,20%,,,https://www.sudameris.com.py/storage/app/uploads/public/6a0/c60/ada/6a0c60ada5fd8423682581.pdf,https://www.sudameris.com.py/beneficios/destacado/875/detalle,LUISITO 2026 VIGENCIA • Todos los martes. • Desde el 26 de mayo hasta el 30 de noviembre 2026. BENEFICIO • 20% de reintegro directo pagando con tarjetas de crédito de Sudameris.
Sudameris,BIGGIE EXPRESS - PRIMERO DE CADA MES,BIGGIE EXPRESS - PRIMERO DE CADA MES,• 01 de cada mes. • Desde el 01 de julio hasta el 30 de septiembre 2026.,01 de julio,30 de septiembre 2026,• 30% de reintegro directo en el extracto pagando con tarjetas de crédito de Sudameris.,30%,,,https://www.sudameris.com.py/storage/app/uploads/public/6a4/57a/74a/6a457a74af6bf890533879.pdf,https://www.sudameris.com.py/beneficios/destacado/891/detalle,BIGGIE EXPRESS VIGENCIA • 01 de cada mes. • Desde el 01 de julio hasta el 30 de septiembre 2026. BENEFICIOS • 30% de reintegro directo en el extracto pagando con tarjetas de crédito de Sudameris.
Sudameris,COPETROL Y COPEMARKET 2026,COPETROL Y COPEMARKET 2026,• 15 de cada mes. • Desde el 01 de julio hasta el 30 de septiembre 2026.,01 de julio,30 de septiembre 2026,• 20% de reintegro directo pagando con tarjetas de crédito. COPEMARKET 2026,20%,,,,https://www.sudameris.com.py/beneficios/destacado/609/detalle,COPETROL 2026 VIGENCIA • 15 de cada mes. • Desde el 01 de julio hasta el 30 de septiembre 2026. BENEFICIOS • 20% de reintegro directo pagando con tarjetas de crédito. COPEMARKET 2026 VIGENCIA • Todos los días. • Desde el 01 de julio hasta el 30 de septiembre 2026. BENEFICIOS • 20% de reintegro directo pagando con tarjetas de crédito de Sudameris. • 25% de reintegro directo pagando con tarjetas de crédito MasterCard Black y Visa Infinite de Sudameris.
Sudameris,FARMACENTER,FARMACENTER,• Desde el 01 de julio hasta el 31 de diciembre 2026. • Solo el primer miércoles de cada mes: • 01 de julio. • 05 de agosto. • 02 de septiembre. • 07 de octubre. • 04 de noviembre. • 02 de diciembre.,01 de julio,31 de diciembre 2026,"• 20% de descuento directo en caja en todos los productos. • +10% de reintegro directo adicional en extracto, pagando exclusivamente con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.",10%; 20%,,Hasta 12 cuotas sin interés,https://www.sudameris.com.py/storage/app/uploads/public/6a4/57a/05d/6a457a05dbe7d376563242.pdf,https://www.sudameris.com.py/beneficios/destacado/632/detalle,"FARMACENTER VIGENCIA • Desde el 01 de julio hasta el 31 de diciembre 2026. • Solo el primer miércoles de cada mes: • 01 de julio. • 05 de agosto. • 02 de septiembre. • 07 de octubre. • 04 de noviembre. • 02 de diciembre. BENEFICIOS • 20% de descuento directo en caja en todos los productos. • +10% de reintegro directo adicional en extracto, pagando exclusivamente con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés."
Sudameris,Travel Hub Agosto – DTP Travel Group,Travel Hub Agosto – DTP Travel Group,"• Periodo de compra: Desde el 24 hasta el 28 de agosto del 2026 o hasta agotar cupos disponibles, lo que ocurra primero.",24,"28 de agosto del 2026 o hasta agotar cupos disponibles, lo que ocurra primero","• Reintegro único de Gs. 2.000.000 por compra desde Gs. 12.000.000 en adelante. • Bono único de USD 150 para la compra de paquetes de viaje seleccionados por DTP Travel Group, que incluyan vuelo + alojamiento + traslados. • Hasta 18 cuotas sin intereses.",,Gs. 2.000.000; Gs. 12.000.000,Hasta 18 cuotas sin intereses,https://www.sudameris.com.py/storage/app/uploads/public/6a8/5af/63c/6a85af63c5f27261579401.pdf,https://www.sudameris.com.py/beneficios/destacado/913/detalle,"Travel Hub Agosto – DTP Travel Group VIGENCIA • Periodo de compra: Desde el 24 hasta el 28 de agosto del 2026 o hasta agotar cupos disponibles, lo que ocurra primero. BENEFICIOS • Reintegro único de Gs. 2.000.000 por compra desde Gs. 12.000.000 en adelante. • Bono único de USD 150 para la compra de paquetes de viaje seleccionados por DTP Travel Group, que incluyan vuelo + alojamiento + traslados. • Hasta 18 cuotas sin intereses."
Sudameris,PROMOCIÓN MCLAREN MASTERCARD F1 TEAM,PROMOCIÓN MCLAREN MASTERCARD F1 TEAM,"de la promoción y acumulá cupones digitales automáticamente para los sorteos, según las",,,,,,,https://www.sudameris.com.py/storage/app/uploads/public/69d/910/8d2/69d9108d297c4431584271.pdf,https://www.sudameris.com.py/beneficios/destacado/854/detalle,"Promoción McLaren Mastercard F1 Team Participá por la experiencia McLaren Mastercard F1 Team Viví la adrenalina de la Fórmula 1 con la posibilidad de viajar al Gran Premio de México o al Gran Premio de São Paulo, además de ganar merchandising oficial del McLaren Mastercard F1 Team: remeras, gorras y mochilas. ¿Cómo participar? Realizá compras desde Gs. 500.000 con tu Tarjeta de Crédito Sudameris Mastercard durante la vigencia de la promoción y acumulá cupones digitales automáticamente para los sorteos, según las bases y condiciones."
Sudameris,DTP TRAVEL GROUP,DTP TRAVEL GROUP,•La Promoción tendrá,,,,,,,https://www.sudameris.com.py/storage/app/uploads/public/69b/07e/e4a/69b07ee4a3fce750294500.pdf,https://www.sudameris.com.py/beneficios/destacado/787/detalle,Upgrade de Entradas – Charter F1 São Paulo VIGENCIA •La Promoción tendrá vigencia desde enero de 2026 hasta octubre del 2026.
Sudameris,TATANO POSADA BOUTIQUE,TATANO POSADA BOUTIQUE,• Martes a domingo. • Desde el 07 de abril 2026 hasta el 31 de diciembre 2026.,07 de abril 2026,31 de diciembre 2026,• 20% de descuento en caja con tarjetas de crédito de Sudameris. • 25% de descuento en caja con tarjetas de crédito MasterCard Black y Visa Infinite de Sudameris. • Hasta 12 cuotas sin intereses (Aplica exclusivamente para pagos de alojamiento).,20%; 25%,,Hasta 12 cuotas sin intereses,https://www.sudameris.com.py/storage/app/uploads/public/69d/4fb/4cd/69d4fb4cd9c17049282173.pdf,https://www.sudameris.com.py/beneficios/destacado/761/detalle,TATANO POSADA BOUTIQUE VIGENCIA • Martes a domingo. • Desde el 07 de abril 2026 hasta el 31 de diciembre 2026. BENEFICIOS • 20% de descuento en caja con tarjetas de crédito de Sudameris. • 25% de descuento en caja con tarjetas de crédito MasterCard Black y Visa Infinite de Sudameris. • Hasta 12 cuotas sin intereses (Aplica exclusivamente para pagos de alojamiento).
