id,bank,category,merchant_name,merchant_locations_or_group,benefit_summary,benefit_type,percentages,promotion_days,day_text,validity,caps_and_minimums,level_rules,source_url
02bae3cf228d830e,BNF,Estaciones de Servicio,Estaciones de Servicio,386 locales. Marcas/comercios: Puma; Copetrol; Compasa; Petrochaco; 3MG,20% reintegro,reintegro,20%,miércoles,Miércoles,Todos los Miércoles,Tope de compra mensual por cuenta de tarjeta de crédito (incluye titular y adicionales) Gs; tope asignado se computará estrictamente por marca en su totalidad y no por localidad; tope de reintegro máximo mensual por tarjeta de crédito será de Gs; Gs. 1.000.000; Gs. 200.000,,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
cc150d8996caad4a,BNF,Farmacias,Farmacias,419 locales. Marcas/comercios: ASISMED Drugstore; Farmacias Catedral; Farmacia Vicente Scavone; Farmacenter; Farma Koke; Farmacia Santa Victoria,10% reintegro,reintegro,10%,,No especificado en tarjeta,Todos los lunes,"Tope de compra mensual por tarjeta de crédito Gs; tope no se multiplicará por sucursal, sino que se unificará bajo el mismo sello comercial; tope de reintegro máximo mensual por tarjeta de crédito será de Gs; Gs. 1.000.000; Gs. 100.000",,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
c0941e4a5daeb225,BNF,Frigoríficos,Frigoríficos,46 locales. Marcas/comercios: Pollos Don Juan; Cooperativa Chortitzer,30% reintegro,reintegro,30%,viernes,Viernes,Todos los viernes,Tope de compra mensual por cuenta de tarjeta de crédito (incluye titular y adicionales) Gs; Tope de reintegro máximo mensual por tarjeta de crédito Gs; Gs. 1.000.000; Gs. 300.000,,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Frigorificos_2026_AGOSTO_33175dc92c.pdf
27b100a3985f856c,BNF,Mayoristas,Mayoristas,14 locales. Marcas/comercios: BOX Mayorista; Aho Aho Comercial; Supermás; Casa Grütter,30% reintegro,reintegro,30%,sábado,Sábados,Todos los sábados,Tope de compra mensual por cuenta de tarjeta de crédito (incluye titular y adicionales) Gs; Tope de reintegro máximo mensual por tarjeta de crédito Gs; Gs. 2.000.000; Gs. 1.000.000; Gs. 600.000,,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Mayoristas_2026_AGOSTO_fb99dd53e5.pdf
a05b63930854650d,BNF,Supermercados,Supermercados,"116 locales. Comercios detectados: PLUB, Los Jardines Supermercado, Casa Paraná, Hipermercados Luisito, Superseis, Supersies, Superseis Express, Delimarket, Mercado Villa Sofía, Supermercado La Preferida, Cadena Real, Supermercados Gran Vía, Copemarket, Supermercado Cardoso, A Punto Tienda del Asadero, A Punto Market, Comercial Elena, Super Santa Rosa, Supermercado Gran Avenida, Supermercado S&M, Casa Yasy, Multi Carnes Supermercado, Comercial Armin",30% reintegro,reintegro,30%,jueves,Jueves,Todos los Jueves,Tope de compra mensual por cuenta de tarjeta de crédito (incluye titular y adicionales) Gs; Tope de reintegro máximo mensual por tarjeta de crédito Gs; Gs. 1.500.000; Gs. 1.000.000; Gs. 450.000,,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Supermercados_2026_AGOSTO_2e7bd73fa2.pdf
dbd3e1316f161392,Continental,Agencias de Viaje y Compañías Aéreas,Agencias de Viaje y Compañías Aéreas,,Hasta 12 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 31 de diciembre de 2026,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
a2cfb5ad3fb7156d,Continental,Agencias de Viaje y Compañías Aéreas,Asatur Paraguay,,Hasta 18 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 31 de diciembre de 2026,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
4c456852f003fe2d,Continental,Agencias de Viaje y Compañías Aéreas,Consolid Travel,,Hasta 24 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 31 de diciembre del 2026,Límites de compras: - Cuotas sin intereses con límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
ffd0af79c3fdea7a,Continental,Agencias de Viaje y Compañías Aéreas,Exel Turismo,,Hasta 24 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 01 de mayo de 2027,Límite de compra mensual de Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
54729daf4a4a53b6,Continental,Agencias de Viaje y Compañías Aéreas,Lleva Viajes,,Hasta 18 cuotas sin intereses,cuotas_sin_intereses,,lunes; martes; miércoles; jueves; viernes; sábado; domingo,Todos los días,Vigente hasta el 10 de abril del 2027,Límite de compra mensual de hasta Gs; Gs. 50.000.000,,https://www.bancontinental.com.py/api/comercios?_limit=-1
